"dt","nom_doc","type","rq"
"2013-03-01 14:48:40+00","RIB","ml",""
"2013-03-04 09:01:55+00","CONSIGNES - ACTION","ml",""
"2013-03-05 13:47:39+00","du 21/03 au 07/04","ml",""
"2013-03-05 13:47:39+00","5eme_semain_du_21.03.2013_AU_07.04.2013.xls","pj","provient du maildu 21/03 au 07/04"
"2013-03-27 11:14:12+00","planning avril2013 -","ml",""
"2013-03-27 11:14:12+00","avril_opérateur.xls","pj","provient du mailplanning avril2013 -"
"2013-03-28 08:43:23+00","vacances 2013.....","ml",""
"2013-03-28 08:43:23+00","planning_vacances2013.xls","pj","provient du mailvacances 2013....."
"2013-03-28 09:05:04+00","rectificatif semaine du 03.06 au 09.06 pour christophe g et humberto","ml",""
"2013-04-02 14:26:29+00","POUR CHRISTOPHE GOSSART","ml",""
"2013-04-03 12:32:49+00","Fwd: erreur ou pas sur le planning","ml",""
"2013-04-03 12:35:31+00","planning avec modif intégrée suite erreur de ma part ou modif demandée par vous","ml",""
"2013-04-03 12:35:31+00","planning_bis_vacances_2013.xls","pj","provient du mailplanning avec modif intégrée suite erreur de ma part ou modif demandée par vous"
"2013-05-02 13:34:17+00","VIDEOSURVEILLANCE","ml",""
"2013-05-02 13:38:41+00","ECOUTE - ENREGISTREMENT","ml",""
"2013-05-07 06:18:21+00","lundi de paques - 1er avril.....désolée je ne l ai comptabilisé à personne en jour férié...je rattrape tt cà sur mai..encore une fois désolée...(je n ai pas oublié le 1er mai)","ml",""
"2013-05-07 06:54:45+00","RAPPEL SUR MAI du lundi de paques pour","ml",""
"2013-05-27 14:11:48+00","Fwd: Fwd: Fax received from ""polesantetravail"" - POUR BEN VISITE  MEDICALE","ml",""
"2013-05-27 14:11:48+00","fax000013355.pdf","pj","provient du mailFwd: Fwd: Fax received from ""polesantetravail"" - POUR BEN VISITE  MEDICALE"
"2013-06-21 12:39:28+00","INSATISFACTION CLIENTELE","ml",""
"2013-06-21 12:39:28+00","clip_image001.gif","pj","provient du mailINSATISFACTION CLIENTELE"
"2013-07-04 13:43:13+00","IT_209_A_Logigramme_de_fonctionnement_de_l_Astreine_SSI_SERVICE.PDF","pj","provient du mailFwd: Fwd: Logigramme d'astreinte SSI"
"2013-07-04 13:43:13+00","Fwd: Fwd: Logigramme d'astreinte SSI","ml",""
"2013-07-10 15:13:50+00","modif_planning_10.7.2013.xls","pj","provient du mailmodification planning du 17.07 au 31.08.2013"
"2013-07-10 15:13:50+00","modification planning du 17.07 au 31.08.2013","ml",""
"2013-07-10 15:18:03+00","back up - modification de planning","ml",""
"2013-07-17 15:55:49+00","CONNEXION CONTROLE DISTANT SUR L ENSEMBLE DES PERMANENCES -","ml",""
"2013-08-02 11:27:43+00","Permanence Téléphonique","ml",""
"2013-09-30 12:33:09+00","modif planning arret maladie humbero","ml",""
"2013-09-30 12:33:09+00","modif_planning_arret_humberto.xlsx","pj","provient du mailmodif planning arret maladie humbero"
"2013-10-07 08:06:01+00","code-de-deontologie-A4.pdf","pj","provient du mailMISE A JOUR DE VOS DOSSIERS - URGENT - RAPPEL"
"2013-10-07 08:06:01+00","MISE A JOUR DE VOS DOSSIERS - URGENT - RAPPEL","ml",""
"2013-10-07 08:06:01+00","Formulaire-carte-pro.pdf","pj","provient du mailMISE A JOUR DE VOS DOSSIERS - URGENT - RAPPEL"
"2013-10-17 06:59:20+00","Suite à mon dernier message il me manque les documents de corentin, humberto, ben et christophe langlet imperativement retourné avant le 21.10.2013. merci","ml",""
"2013-10-17 14:59:41+00","pour consulter la convention collective à tout moment vous pouvez cliquer sur le lient suivant","ml",""
"2013-10-18 08:18:45+00","TU NE M AS PAS RENDU LE CODE DE DEONTONLOGIE SIGNE. TU ES LE  DERNIER DU PC. SANS FAUTE A TON RETOUR DE VACANCES.MERCI","ml",""
"2013-11-07 07:16:07+00","modif et suite du planning operateur du 18.11 au 05.01.2014","ml",""
"2013-11-07 07:16:07+00","planning_du_18112013_au_05012013.xlsx","pj","provient du mailmodif et suite du planning operateur du 18.11 au 05.01.2014"
"2013-11-18 16:10:02+00","planning_du_01.01.2014_AU_06.04.2014_-_MODIF_ATTENTION.xlsx","pj","provient du mailnouveau planning et horaire pour la permanence."
"2013-11-18 16:10:02+00","nouveau planning et horaire pour la permanence.","ml",""
"2013-11-18 16:11:57+00","planning bis","ml",""
"2013-11-18 16:11:57+00","planning_du_01.01.2014_AU_06.04.2014_-_MODIF_ATTENTION.xlsx","pj","provient du mailplanning bis"
"2013-12-30 15:51:05+00","ERREUR SUR PLANNING","ml",""
"2014-01-07 09:06:52+00","poste et travail","ml",""
"2014-01-24 16:13:51+00","renouvellement carte pro -lien ci joint....rappel dépot des dossiers 3 mois minimum avant date d'expiration","ml",""
"2014-01-29 09:23:13+00","Horaires pour HANS pour les 15 prochains jours - lui communiquer  svp.merci","ml",""
"2014-02-11 01:20:58+00","carte pro...","ml",""
"2014-02-12 13:00:53+00","signature_boite_fonctionnelle.png","pj","provient du mailRe: demande de renouvellement de carte pro"
"2014-02-12 13:00:53+00","Re: demande de renouvellement de carte pro","ml",""
"2014-02-12 13:19:27+00","CNAPS RENOUVELLEMENT CARTE","ml",""
"2014-02-13 07:51:20+00","PERM DOMO","ml",""
"2014-02-13 07:51:20+00","PERM012014DOMOVEIL.xlsx","pj","provient du mailPERM DOMO"
"2014-02-17 06:41:06+00","vacances ete 2014 - manque la pose des conges de corentin (4  semaines) - adeline(15 jours)- surin (15 jours)","ml",""
"2014-02-21 09:44:06+00","vacances_2014.xlsx","pj","provient du mailTABLEAU DES DEPARTS EN VACANCES 2014"
"2014-02-21 09:44:06+00","TABLEAU DES DEPARTS EN VACANCES 2014","ml",""
"2014-03-04 09:49:44+00","planning ete 2014","ml",""
